バージョン,曲名,難易度,レベル,ノーツレーダー属性
HEROIC VERSE,PHASE SHIFT MANEUVER,ANOTHER,11,NOTES
Lincle,Phoenix,NORMAL,5,
Lincle,Phoenix,HYPER,7,NOTES
Lincle,Phoenix,ANOTHER,10,NOTES
Lincle,Phoenix,LEGGENDARIA,12,NOTES
EPOLIS,PILGRIM,NORMAL,5,NOTES
EPOLIS,PILGRIM,HYPER,9,NOTES
EPOLIS,PILGRIM,ANOTHER,11,NOTES
CastHour,PIRATES BLADE,NORMAL,5,
CastHour,PIRATES BLADE,HYPER,8,NOTES
CastHour,PIRATES BLADE,ANOTHER,10,CHORD
Pinky Crush,PIT A PAT,NORMAL,5,
Pinky Crush,PIT A PAT,HYPER,8,NOTES
Pinky Crush,PIT A PAT,ANOTHER,10,SCRATCH
tricoro,Plan 8,NORMAL,6,NOTES
tricoro,Plan 8,HYPER,10,SCRATCH
tricoro,Plan 8,ANOTHER,12,SCRATCH
tricoro,planarian,NORMAL,4,NOTES
tricoro,planarian,HYPER,8,
tricoro,planarian,ANOTHER,10,NOTES
HAPPY SKY,PLASMA,NORMAL,4,
HAPPY SKY,PLASMA,HYPER,8,NOTES
HAPPY SKY,PLASMA,ANOTHER,9,NOTES
CastHour,PLASMA SOUL NIGHT feat. Nana Takahashi / 709sec.,BEGINNER,2,SCRATCH
CastHour,PLASMA SOUL NIGHT feat. Nana Takahashi / 709sec.,NORMAL,6,
CastHour,PLASMA SOUL NIGHT feat. Nana Takahashi / 709sec.,HYPER,10,NOTES
CastHour,PLASMA SOUL NIGHT feat. Nana Takahashi / 709sec.,ANOTHER,12,CHORD
GOLD,Play back hate you,NORMAL,4,
GOLD,Play back hate you,HYPER,8,
GOLD,Play back hate you,ANOTHER,9,NOTES
BISTROVER,Playball,NORMAL,4,
BISTROVER,Playball,HYPER,6,PEAK
BISTROVER,Playball,ANOTHER,8,PEAK
Rootage,Playing With Fire,NORMAL,6,
Rootage,Playing With Fire,HYPER,9,NOTES
Rootage,Playing With Fire,ANOTHER,11,NOTES
INFINITAS,Plea Per Phase,NORMAL,5,
INFINITAS,Plea Per Phase,HYPER,9,NOTES
INFINITAS,Plea Per Phase,ANOTHER,11,NOTES
8th style,PLEASE DON'T GO,NORMAL,5,
8th style,PLEASE DON'T GO,HYPER,7,
8th style,PLEASE DON'T GO,ANOTHER,12,PEAK
Rootage,Please Welcome Mr.C,NORMAL,6,
Rootage,Please Welcome Mr.C,HYPER,9,NOTES
Rootage,Please Welcome Mr.C,ANOTHER,12,CHORD
tricoro,POINT ZERO,NORMAL,4,PEAK
tricoro,POINT ZERO,HYPER,7,PEAK
tricoro,POINT ZERO,ANOTHER,10,PEAK
BISTROVER,POLKAMANIA,BEGINNER,2,SCRATCH
BISTROVER,POLKAMANIA,NORMAL,5,
BISTROVER,POLKAMANIA,HYPER,9,SCRATCH
BISTROVER,POLKAMANIA,ANOTHER,11,NOTES
INFINITAS,Poppin' Soda,NORMAL,5,
INFINITAS,Poppin' Soda,HYPER,9,
INFINITAS,Poppin' Soda,ANOTHER,11,CHORD
tricoro,portal,NORMAL,4,
tricoro,portal,HYPER,7,
tricoro,portal,ANOTHER,10,PEAK
copula,POSSESSION,BEGINNER,3,SOF-LAN
copula,POSSESSION,NORMAL,7,SOF-LAN
copula,POSSESSION,HYPER,10,SOF-LAN
copula,POSSESSION,ANOTHER,12,SOF-LAN
CastHour,Pout,NORMAL,6,
CastHour,Pout,HYPER,9,NOTES
CastHour,Pout,ANOTHER,11,PEAK
9th style,POWER DREAM,NORMAL,4,
9th style,POWER DREAM,HYPER,8,
9th style,POWER DREAM,ANOTHER,10,NOTES
DistorteD,Power of Love,NORMAL,5,
DistorteD,Power of Love,HYPER,7,NOTES
DistorteD,Power of Love,ANOTHER,10,NOTES
tricoro,Praludium,NORMAL,4,NOTES
tricoro,Praludium,HYPER,8,
tricoro,Praludium,ANOTHER,10,NOTES
9th style,Prelude,NORMAL,5,
9th style,Prelude,HYPER,6,
9th style,Prelude,ANOTHER,10,PEAK
HEROIC VERSE,Primitive Vibes,BEGINNER,3,
HEROIC VERSE,Primitive Vibes,NORMAL,6,NOTES
HEROIC VERSE,Primitive Vibes,HYPER,10,NOTES
HEROIC VERSE,Primitive Vibes,ANOTHER,12,NOTES
RESIDENT,Programmed Genom,NORMAL,5,PEAK
RESIDENT,Programmed Genom,HYPER,8,NOTES
RESIDENT,Programmed Genom,ANOTHER,11,NOTES
SIRIUS,Programmed Sun,NORMAL,6,NOTES
SIRIUS,Programmed Sun,HYPER,9,NOTES
SIRIUS,Programmed Sun,ANOTHER,11,PEAK
Resort Anthem,Programmed Sun(xac Antarctic Ocean mix),NORMAL,4,
Resort Anthem,Programmed Sun(xac Antarctic Ocean mix),HYPER,7,
Resort Anthem,Programmed Sun(xac Antarctic Ocean mix),ANOTHER,10,PEAK
INFINITAS,Programmed Universe,NORMAL,4,
INFINITAS,Programmed Universe,HYPER,7,
INFINITAS,Programmed Universe,ANOTHER,10,NOTES
EMPRESS,Programmed World,NORMAL,5,
EMPRESS,Programmed World,HYPER,9,PEAK
EMPRESS,Programmed World,ANOTHER,11,PEAK
CastHour,Prohibited Props,NORMAL,5,
CastHour,Prohibited Props,HYPER,8,NOTES
CastHour,Prohibited Props,ANOTHER,10,NOTES
DJ TROOPERS,PROMISE FOR LIFE,NORMAL,3,
DJ TROOPERS,PROMISE FOR LIFE,HYPER,7,CHORD
DJ TROOPERS,PROMISE FOR LIFE,ANOTHER,8,CHORD
Lincle,prompt,NORMAL,5,
Lincle,prompt,HYPER,8,NOTES
Lincle,prompt,ANOTHER,11,NOTES
tricoro,Proof of the existence,NORMAL,6,PEAK
tricoro,Proof of the existence,HYPER,10,PEAK
tricoro,Proof of the existence,ANOTHER,12,PEAK
EMPRESS,PSYCHE PLANET-GT,NORMAL,6,
EMPRESS,PSYCHE PLANET-GT,HYPER,9,
EMPRESS,PSYCHE PLANET-GT,ANOTHER,10,NOTES
EPOLIS,Psychedelic Intelligence,NORMAL,6,
EPOLIS,Psychedelic Intelligence,HYPER,9,NOTES
EPOLIS,Psychedelic Intelligence,ANOTHER,11,NOTES
Rootage,Psycho Sheep Riddim,NORMAL,3,PEAK
Rootage,Psycho Sheep Riddim,HYPER,7,PEAK
Rootage,Psycho Sheep Riddim,ANOTHER,9,PEAK
Rootage,Psycho Sheep Riddim,LEGGENDARIA,11,CHARGE
SPADA,PUNISHER,NORMAL,5,NOTES
SPADA,PUNISHER,HYPER,9,NOTES
SPADA,PUNISHER,ANOTHER,12,NOTES
CastHour,Purple Perplex,NORMAL,7,SCRATCH
CastHour,Purple Perplex,HYPER,10,SCRATCH
CastHour,Purple Perplex,ANOTHER,12,SCRATCH
2nd style,PUT YOUR FAITH IN ME(for beatmania II),NORMAL,3,PEAK
2nd style,PUT YOUR FAITH IN ME(for beatmania II),HYPER,6,PEAK
5th style,QQQ,NORMAL,5,NOTES
5th style,QQQ,HYPER,8,NOTES
5th style,QQQ,ANOTHER,10,NOTES
SINOBUZ,Quakes,NORMAL,6,
SINOBUZ,Quakes,HYPER,10,PEAK
SINOBUZ,Quakes,ANOTHER,12,PEAK
Lincle,QUANTUM TELEPORTATION,NORMAL,7,PEAK
Lincle,QUANTUM TELEPORTATION,HYPER,10,
Lincle,QUANTUM TELEPORTATION,ANOTHER,11,NOTES
Lincle,QUANTUM TELEPORTATION,LEGGENDARIA,12,PEAK
Lincle,quaver♪,NORMAL,4,NOTES
Lincle,quaver♪,HYPER,9,NOTES
Lincle,quaver♪,ANOTHER,12,NOTES
HEROIC VERSE,Queen Kaguya,NORMAL,6,
HEROIC VERSE,Queen Kaguya,HYPER,9,PEAK
HEROIC VERSE,Queen Kaguya,ANOTHER,11,PEAK
EMPRESS,Queen's Tragedy,NORMAL,4,
EMPRESS,Queen's Tragedy,HYPER,8,NOTES
EMPRESS,Queen's Tragedy,ANOTHER,10,NOTES
SIRIUS,quell～the seventh slave～,NORMAL,4,PEAK
SIRIUS,quell～the seventh slave～,HYPER,9,PEAK
SIRIUS,quell～the seventh slave～,ANOTHER,12,NOTES
copula,quick master (reform version),NORMAL,1,SCRATCH
copula,quick master (reform version),HYPER,3,PEAK
copula,quick master (reform version),ANOTHER,5,PEAK
Lincle,Quick Silver,NORMAL,5,PEAK
Lincle,Quick Silver,HYPER,9,NOTES
Lincle,Quick Silver,ANOTHER,11,NOTES
9th style,Quickening,NORMAL,5,
9th style,Quickening,HYPER,9,NOTES
9th style,Quickening,ANOTHER,10,NOTES
1st&substream,R3,NORMAL,4,NOTES
1st&substream,R3,HYPER,5,NOTES
1st&substream,R3,ANOTHER,6,PEAK
3rd style,R5,NORMAL,5,PEAK
3rd style,R5,HYPER,8,PEAK
3rd style,R5,ANOTHER,11,PEAK
SPADA,ra'am,NORMAL,8,PEAK
SPADA,ra'am,HYPER,10,PEAK
SPADA,ra'am,ANOTHER,12,PEAK
HAPPY SKY,rage against usual,NORMAL,7,PEAK
HAPPY SKY,rage against usual,HYPER,10,
HAPPY SKY,rage against usual,ANOTHER,12,PEAK
5th style,Radical Faith,NORMAL,5,
5th style,Radical Faith,HYPER,6,PEAK
5th style,Radical Faith,ANOTHER,7,PEAK
CastHour,RAGE feat.H14 of LEONAIR,BEGINNER,3,
CastHour,RAGE feat.H14 of LEONAIR,NORMAL,6,
CastHour,RAGE feat.H14 of LEONAIR,HYPER,10,SCRATCH
CastHour,RAGE feat.H14 of LEONAIR,ANOTHER,12,SCRATCH
SINOBUZ,RAIN,NORMAL,6,NOTES
SINOBUZ,RAIN,HYPER,9,NOTES
SINOBUZ,RAIN,ANOTHER,12,NOTES
tricoro,Rainbow after snow,NORMAL,4,PEAK
tricoro,Rainbow after snow,HYPER,7,
tricoro,Rainbow after snow,ANOTHER,10,PEAK
8th style,rainbow flyer,NORMAL,5,PEAK
8th style,rainbow flyer,HYPER,9,PEAK
8th style,rainbow flyer,ANOTHER,11,PEAK
SPADA,rainbow guitar weeps,NORMAL,5,
SPADA,rainbow guitar weeps,HYPER,9,
SPADA,rainbow guitar weeps,ANOTHER,11,PEAK
10th style,rainbow rainbow,NORMAL,7,
10th style,rainbow rainbow,HYPER,10,PEAK
10th style,rainbow rainbow,ANOTHER,11,NOTES
HEROIC VERSE,Rainstorm,NORMAL,5,
HEROIC VERSE,Rainstorm,HYPER,8,NOTES
HEROIC VERSE,Rainstorm,ANOTHER,10,NOTES
SIRIUS,Raison d'etre～交差する宿命～,NORMAL,5,NOTES
SIRIUS,Raison d'etre～交差する宿命～,HYPER,10,NOTES
SIRIUS,Raison d'etre～交差する宿命～,ANOTHER,11,NOTES
CANNON BALLERS,Rampage,NORMAL,6,NOTES
CANNON BALLERS,Rampage,HYPER,10,CHORD
CANNON BALLERS,Rampage,ANOTHER,12,CHORD
IIDX RED,Raspberry Heart(English version),NORMAL,5,
IIDX RED,Raspberry Heart(English version),HYPER,8,PEAK
IIDX RED,Raspberry Heart(English version),ANOTHER,9,NOTES
Pinky Crush,Raspberry Potion (feat.あれたん & ぎゃるのしん☆),NORMAL,5,
Pinky Crush,Raspberry Potion (feat.あれたん & ぎゃるのしん☆),HYPER,9,NOTES
Pinky Crush,Raspberry Potion (feat.あれたん & ぎゃるのしん☆),ANOTHER,11,CHORD
CANNON BALLERS,Raspberry Railgun,NORMAL,7,NOTES
CANNON BALLERS,Raspberry Railgun,HYPER,10,NOTES
CANNON BALLERS,Raspberry Railgun,ANOTHER,12,NOTES
SINOBUZ,Rave Cannon,NORMAL,5,
SINOBUZ,Rave Cannon,HYPER,9,NOTES
SINOBUZ,Rave Cannon,ANOTHER,12,NOTES
HEROIC VERSE,Rave lithosphere,NORMAL,5,
HEROIC VERSE,Rave lithosphere,HYPER,8,
HEROIC VERSE,Rave lithosphere,ANOTHER,11,NOTES
HEROIC VERSE,Rave Patroller,NORMAL,7,NOTES
HEROIC VERSE,Rave Patroller,HYPER,10,NOTES
HEROIC VERSE,Rave Patroller,ANOTHER,12,PEAK
PENDUAL,Rave*it!! Rave*it!!,NORMAL,6,SCRATCH
PENDUAL,Rave*it!! Rave*it!!,HYPER,9,SCRATCH
PENDUAL,Rave*it!! Rave*it!!,ANOTHER,12,CHORD
10th style,Ready To Rockit Blues,NORMAL,3,
10th style,Ready To Rockit Blues,HYPER,6,
10th style,Ready To Rockit Blues,ANOTHER,9,CHARGE
5th style,Real,NORMAL,5,
5th style,Real,HYPER,8,PEAK
5th style,Real,ANOTHER,9,PEAK
PENDUAL,Realize Maze,NORMAL,6,
PENDUAL,Realize Maze,HYPER,9,NOTES
PENDUAL,Realize Maze,ANOTHER,11,CHORD
SPADA,Recollection,NORMAL,5,
SPADA,Recollection,HYPER,7,PEAK
SPADA,Recollection,ANOTHER,9,CHORD
EPOLIS,Red Determination,NORMAL,5,
EPOLIS,Red Determination,HYPER,8,NOTES
EPOLIS,Red Determination,ANOTHER,11,SCRATCH
RESIDENT,Red Soul,NORMAL,6,
RESIDENT,Red Soul,HYPER,9,NOTES
RESIDENT,Red Soul,ANOTHER,11,SCRATCH
IIDX RED,RED ZONE,BEGINNER,1,PEAK
IIDX RED,RED ZONE,NORMAL,5,NOTES
IIDX RED,RED ZONE,HYPER,9,NOTES
IIDX RED,RED ZONE,ANOTHER,11,NOTES
IIDX RED,RED ZONE,LEGGENDARIA,12,NOTES
SIRIUS,Red. by Full Metal Jacket,NORMAL,6,SCRATCH
SIRIUS,Red. by Full Metal Jacket,HYPER,10,SCRATCH
SIRIUS,Red. by Full Metal Jacket,ANOTHER,12,SCRATCH
Rootage,Red. by Jack Trance,NORMAL,7,SCRATCH
Rootage,Red. by Jack Trance,HYPER,10,SCRATCH
Rootage,Red. by Jack Trance,ANOTHER,12,SCRATCH
tricoro,Reflection Into the EDEN,NORMAL,4,PEAK
tricoro,Reflection Into the EDEN,HYPER,7,PEAK
tricoro,Reflection Into the EDEN,ANOTHER,10,PEAK
INFINITAS,REFLEXES MANIPULATION,NORMAL,7,
INFINITAS,REFLEXES MANIPULATION,HYPER,10,
INFINITAS,REFLEXES MANIPULATION,ANOTHER,12,NOTES
PENDUAL,Reflux,NORMAL,5,
PENDUAL,Reflux,HYPER,9,NOTES
PENDUAL,Reflux,ANOTHER,12,CHARGE
PENDUAL,Reflux,LEGGENDARIA,12,SCRATCH
SPADA,refractive index,NORMAL,3,NOTES
SPADA,refractive index,HYPER,7,NOTES
SPADA,refractive index,ANOTHER,11,NOTES
copula,refrain,NORMAL,6,
copula,refrain,HYPER,10,NOTES
copula,refrain,ANOTHER,12,NOTES
tricoro,Re:GENERATION,BEGINNER,1,PEAK
tricoro,Re:GENERATION,NORMAL,5,NOTES
tricoro,Re:GENERATION,HYPER,8,
tricoro,Re:GENERATION,ANOTHER,10,NOTES
5th style,Regulus,NORMAL,6,
5th style,Regulus,HYPER,9,PEAK
5th style,Regulus,ANOTHER,10,PEAK
3rd style,REINCARNATION,NORMAL,4,PEAK
3rd style,REINCARNATION,HYPER,5,PEAK
3rd style,REINCARNATION,ANOTHER,7,PEAK
INFINITAS,Rejection Girl,BEGINNER,2,NOTES
INFINITAS,Rejection Girl,NORMAL,5,PEAK
INFINITAS,Rejection Girl,HYPER,9,NOTES
INFINITAS,Rejection Girl,ANOTHER,11,CHARGE
Lincle,Release The Music,NORMAL,4,PEAK
Lincle,Release The Music,HYPER,7,NOTES
Lincle,Release The Music,ANOTHER,10,NOTES
INFINITAS,Remain,NORMAL,6,
INFINITAS,Remain,HYPER,10,
INFINITAS,Remain,ANOTHER,12,CHARGE
DJ TROOPERS,REMINISCENCE,NORMAL,6,
DJ TROOPERS,REMINISCENCE,HYPER,9,NOTES
DJ TROOPERS,REMINISCENCE,ANOTHER,10,CHORD
Rootage,REPLAY,NORMAL,4,NOTES
Rootage,REPLAY,HYPER,8,NOTES
Rootage,REPLAY,ANOTHER,10,NOTES
Lincle,RESISTANCE,NORMAL,3,NOTES
Lincle,RESISTANCE,HYPER,7,NOTES
Lincle,RESISTANCE,ANOTHER,10,CHORD
EPOLIS,Resonant,NORMAL,5,
EPOLIS,Resonant,HYPER,10,
EPOLIS,Resonant,ANOTHER,12,NOTES
IIDX RED,RESONATE 1794,NORMAL,5,
IIDX RED,RESONATE 1794,HYPER,10,PEAK
IIDX RED,RESONATE 1794,ANOTHER,11,PEAK
Resort Anthem,reunion,BEGINNER,3,
Resort Anthem,reunion,NORMAL,8,PEAK
Resort Anthem,reunion,HYPER,11,PEAK
Resort Anthem,reunion,ANOTHER,12,CHORD
CANNON BALLERS,REVOLVER,NORMAL,5,NOTES
CANNON BALLERS,REVOLVER,HYPER,8,NOTES
CANNON BALLERS,REVOLVER,ANOTHER,11,NOTES
RESIDENT,Rewind Time,NORMAL,4,
RESIDENT,Rewind Time,HYPER,7,NOTES
RESIDENT,Rewind Time,ANOTHER,10,NOTES
5th style,RIDE ON THE LIGHT (HI GREAT MIX),NORMAL,4,NOTES
5th style,RIDE ON THE LIGHT (HI GREAT MIX),HYPER,5,PEAK
5th style,RIDE ON THE LIGHT (HI GREAT MIX),ANOTHER,8,PEAK
5th style,RIDE ON THE LIGHT (HI GREAT MIX),LEGGENDARIA,10,CHARGE
copula,Ride To The Core,NORMAL,5,
copula,Ride To The Core,HYPER,9,
copula,Ride To The Core,ANOTHER,11,NOTES
RESIDENT,RINNE,NORMAL,5,NOTES
RESIDENT,RINNE,HYPER,10,CHORD
RESIDENT,RINNE,ANOTHER,12,CHORD
SPADA,RISE,NORMAL,5,
SPADA,RISE,HYPER,8,PEAK
SPADA,RISE,ANOTHER,10,PEAK
CANNON BALLERS,Rise Circuit,NORMAL,5,
CANNON BALLERS,Rise Circuit,HYPER,9,
CANNON BALLERS,Rise Circuit,ANOTHER,11,CHARGE
10th style,Rise'n Beauty,NORMAL,6,
10th style,Rise'n Beauty,HYPER,9,PEAK
10th style,Rise'n Beauty,ANOTHER,10,NOTES
SINOBUZ,RISING FIRE HAWK,NORMAL,5,NOTES
SINOBUZ,RISING FIRE HAWK,HYPER,8,NOTES
SINOBUZ,RISING FIRE HAWK,ANOTHER,11,CHORD
DJ TROOPERS,Rising in the Sun(original mix),NORMAL,5,
DJ TROOPERS,Rising in the Sun(original mix),HYPER,9,NOTES
DJ TROOPERS,Rising in the Sun(original mix),ANOTHER,11,PEAK
5th style,RISLIM,NORMAL,4,NOTES
5th style,RISLIM,HYPER,7,PEAK
9th style,RISLIM -Remix-,NORMAL,4,PEAK
9th style,RISLIM -Remix-,HYPER,6,PEAK
9th style,RISLIM -Remix-,ANOTHER,11,PEAK
DJ TROOPERS,Ristaccia,NORMAL,6,
DJ TROOPERS,Ristaccia,HYPER,9,PEAK
DJ TROOPERS,Ristaccia,ANOTHER,12,PEAK
BISTROVER,Ritual of Anubis,NORMAL,6,
BISTROVER,Ritual of Anubis,HYPER,9,
BISTROVER,Ritual of Anubis,ANOTHER,11,NOTES
SPADA,RIZING YOU UP,NORMAL,6,
SPADA,RIZING YOU UP,HYPER,9,CHORD
SPADA,RIZING YOU UP,ANOTHER,10,CHORD
Pinky Crush,Roar of Chronos,NORMAL,6,
Pinky Crush,Roar of Chronos,HYPER,10,
Pinky Crush,Roar of Chronos,ANOTHER,12,NOTES
Resort Anthem,Rock Da House,NORMAL,5,NOTES
Resort Anthem,Rock Da House,HYPER,9,NOTES
Resort Anthem,Rock Da House,ANOTHER,11,NOTES
copula,Rock It,NORMAL,5,NOTES
copula,Rock It,HYPER,8,NOTES
copula,Rock It,ANOTHER,11,NOTES
DJ TROOPERS,ROCK ME NOW,NORMAL,6,
DJ TROOPERS,ROCK ME NOW,HYPER,9,
DJ TROOPERS,ROCK ME NOW,ANOTHER,10,CHORD
BISTROVER,rommmo,NORMAL,6,
BISTROVER,rommmo,HYPER,9,NOTES
BISTROVER,rommmo,ANOTHER,12,CHORD
Rootage,R∞tAge,BEGINNER,3,NOTES
Rootage,R∞tAge,NORMAL,5,PEAK
Rootage,R∞tAge,HYPER,8,
Rootage,R∞tAge,ANOTHER,11,CHORD
SIRIUS,Roots of my way!,NORMAL,4,PEAK
SIRIUS,Roots of my way!,HYPER,7,PEAK
SIRIUS,Roots of my way!,ANOTHER,9,CHORD
BISTROVER,Rosa azuL,NORMAL,5,
BISTROVER,Rosa azuL,HYPER,9,NOTES
BISTROVER,Rosa azuL,ANOTHER,11,NOTES
6th style,rottel-da-sun,NORMAL,5,
6th style,rottel-da-sun,HYPER,8,
6th style,rottel-da-sun,ANOTHER,10,SCRATCH
9th style,rottel-the-Mercury,NORMAL,6,
9th style,rottel-the-Mercury,HYPER,9,PEAK
9th style,rottel-the-Mercury,ANOTHER,10,CHORD
SINOBUZ,ROTTERDAM SHOGUN,NORMAL,6,NOTES
SINOBUZ,ROTTERDAM SHOGUN,HYPER,9,NOTES
SINOBUZ,ROTTERDAM SHOGUN,ANOTHER,11,NOTES
HEROIC VERSE,rough percussionythm,NORMAL,6,
HEROIC VERSE,rough percussionythm,HYPER,9,SCRATCH
HEROIC VERSE,rough percussionythm,ANOTHER,11,SCRATCH
Lincle,Round and Round,NORMAL,4,PEAK
Lincle,Round and Round,HYPER,6,PEAK
Lincle,Round and Round,ANOTHER,9,NOTES
6th style,route 80s,NORMAL,6,
6th style,route 80s,HYPER,8,
6th style,route 80s,ANOTHER,9,SCRATCH
copula,Routing,NORMAL,6,PEAK
copula,Routing,HYPER,9,SCRATCH
copula,Routing,ANOTHER,11,SCRATCH
BISTROVER,Rowdy,NORMAL,5,
BISTROVER,Rowdy,HYPER,8,PEAK
BISTROVER,Rowdy,ANOTHER,10,NOTES
Rootage,ROZA DE ANDALUCIA,NORMAL,6,
Rootage,ROZA DE ANDALUCIA,HYPER,9,
Rootage,ROZA DE ANDALUCIA,ANOTHER,11,NOTES
BISTROVER,Rub-a Dub-a,NORMAL,5,
BISTROVER,Rub-a Dub-a,HYPER,8,PEAK
BISTROVER,Rub-a Dub-a,ANOTHER,10,CHORD
BISTROVER,Rubrum Piano,NORMAL,5,
BISTROVER,Rubrum Piano,HYPER,9,NOTES
BISTROVER,Rubrum Piano,ANOTHER,11,NOTES
Rootage,ruin of opals,NORMAL,6,SOF-LAN
Rootage,ruin of opals,HYPER,10,SOF-LAN
Rootage,ruin of opals,ANOTHER,12,SOF-LAN
RESIDENT,Ruler or Loser,NORMAL,5,
RESIDENT,Ruler or Loser,HYPER,8,NOTES
RESIDENT,Ruler or Loser,ANOTHER,11,NOTES
tricoro,rumrum triplets,NORMAL,5,PEAK
tricoro,rumrum triplets,HYPER,10,NOTES
tricoro,rumrum triplets,ANOTHER,11,NOTES
INFINITAS,Rush!!,NORMAL,4,
INFINITAS,Rush!!,HYPER,7,
INFINITAS,Rush!!,ANOTHER,10,NOTES
tricoro,S!ck,NORMAL,5,
tricoro,S!ck,HYPER,8,NOTES
tricoro,S!ck,ANOTHER,11,PEAK
HEROIC VERSE,S!ck (Nhato Remix),NORMAL,6,
HEROIC VERSE,S!ck (Nhato Remix),HYPER,9,NOTES
HEROIC VERSE,S!ck (Nhato Remix),ANOTHER,11,CHARGE
BISTROVER,S-Bahn,NORMAL,4,NOTES
BISTROVER,S-Bahn,HYPER,7,NOTES
BISTROVER,S-Bahn,ANOTHER,9,NOTES
Lincle,SA.YO.NA.RA. SUPER STAR,NORMAL,4,PEAK
Lincle,SA.YO.NA.RA. SUPER STAR,HYPER,8,SOF-LAN
Lincle,SA.YO.NA.RA. SUPER STAR,ANOTHER,10,PEAK
Resort Anthem,SABER WING,NORMAL,5,SOF-LAN
Resort Anthem,SABER WING,HYPER,9,SOF-LAN
Resort Anthem,SABER WING,ANOTHER,11,SOF-LAN
PENDUAL,Sakura Mirage,NORMAL,6,
PENDUAL,Sakura Mirage,HYPER,8,
PENDUAL,Sakura Mirage,ANOTHER,11,PEAK
Resort Anthem,Sakura Reflection,NORMAL,3,PEAK
Resort Anthem,Sakura Reflection,HYPER,9,NOTES
Resort Anthem,Sakura Reflection,ANOTHER,11,CHARGE
Resort Anthem,sakura storm,NORMAL,5,NOTES
Resort Anthem,sakura storm,HYPER,8,SCRATCH
Resort Anthem,sakura storm,ANOTHER,12,NOTES
INFINITAS,Sakura Sunrise,NORMAL,6,
INFINITAS,Sakura Sunrise,HYPER,9,
INFINITAS,Sakura Sunrise,ANOTHER,11,CHARGE
PENDUAL,SAMSARA,NORMAL,4,SCRATCH
PENDUAL,SAMSARA,HYPER,7,PEAK
PENDUAL,SAMSARA,ANOTHER,10,NOTES
SINOBUZ,SAMURAI-Scramble,NORMAL,5,SCRATCH
SINOBUZ,SAMURAI-Scramble,HYPER,9,SCRATCH
SINOBUZ,SAMURAI-Scramble,ANOTHER,11,SCRATCH
SINOBUZ,SAMURAI-Scramble,LEGGENDARIA,12,SCRATCH
SINOBUZ,Sarutobi Champion is 拙者,NORMAL,6,PEAK
SINOBUZ,Sarutobi Champion is 拙者,HYPER,9,NOTES
SINOBUZ,Sarutobi Champion is 拙者,ANOTHER,11,PEAK
Pinky Crush,Satellite Burst,NORMAL,6,
Pinky Crush,Satellite Burst,HYPER,10,NOTES
Pinky Crush,Satellite Burst,ANOTHER,12,NOTES
DJ TROOPERS,"satellite020712 from ""CODED ARMS""",NORMAL,6,
DJ TROOPERS,"satellite020712 from ""CODED ARMS""",HYPER,9,PEAK
DJ TROOPERS,"satellite020712 from ""CODED ARMS""",ANOTHER,11,NOTES
DJ TROOPERS,satfinal,NORMAL,5,NOTES
DJ TROOPERS,satfinal,HYPER,7,PEAK
DJ TROOPERS,satfinal,ANOTHER,9,NOTES
tricoro,Saturn,NORMAL,7,NOTES
tricoro,Saturn,HYPER,10,NOTES
tricoro,Saturn,ANOTHER,11,NOTES
SINOBUZ,SAY BAY,NORMAL,5,SCRATCH
SINOBUZ,SAY BAY,HYPER,8,PEAK
SINOBUZ,SAY BAY,ANOTHER,12,SCRATCH
PENDUAL,Say YEEEAHH,NORMAL,6,
PENDUAL,Say YEEEAHH,HYPER,9,NOTES
PENDUAL,Say YEEEAHH,ANOTHER,12,CHORD
BISTROVER,Scandal,NORMAL,4,NOTES
BISTROVER,Scandal,HYPER,9,CHARGE
BISTROVER,Scandal,ANOTHER,11,CHARGE
DJ TROOPERS,scar in the earth,NORMAL,4,PEAK
DJ TROOPERS,scar in the earth,HYPER,5,PEAK
DJ TROOPERS,scar in the earth,ANOTHER,8,PEAK
PENDUAL,Scarlet Moon,NORMAL,6,
PENDUAL,Scarlet Moon,HYPER,9,NOTES
PENDUAL,Scarlet Moon,ANOTHER,11,NOTES
PENDUAL,Scars of FAUNA,NORMAL,5,
PENDUAL,Scars of FAUNA,HYPER,8,CHARGE
PENDUAL,Scars of FAUNA,ANOTHER,11,CHARGE
Lincle,Scharfrichter,NORMAL,5,NOTES
Lincle,Scharfrichter,HYPER,9,CHARGE
Lincle,Scharfrichter,ANOTHER,11,CHARGE
3rd style,Schlagwerk,NORMAL,4,NOTES
3rd style,Schlagwerk,HYPER,6,NOTES
3rd style,Schlagwerk,ANOTHER,8,NOTES
SPADA,SCHWARZSCHILD FIELD,NORMAL,6,
SPADA,SCHWARZSCHILD FIELD,HYPER,9,NOTES
SPADA,SCHWARZSCHILD FIELD,ANOTHER,11,PEAK
HAPPY SKY,SCREAM SQUAD,NORMAL,7,PEAK
HAPPY SKY,SCREAM SQUAD,HYPER,10,PEAK
HAPPY SKY,SCREAM SQUAD,ANOTHER,12,PEAK
HEROIC VERSE,SCREW // owo // SCREW,NORMAL,6,
HEROIC VERSE,SCREW // owo // SCREW,HYPER,9,SCRATCH
HEROIC VERSE,SCREW // owo // SCREW,ANOTHER,12,SCRATCH
HAPPY SKY,Scripted Connection⇒ A mix,NORMAL,7,NOTES
HAPPY SKY,Scripted Connection⇒ A mix,HYPER,10,
